workload_kind,file_size_bytes,chunk_size_bytes,generation_gap_ms,rtt_ms,bandwidth_mbps,delayed_ack_ms,mss_bytes,nagle_penalty_factor,propagation_factor,message_size_mean,inter_arrival_time,queue_size,estimated_rtt,scenario_id,policy,resolved_batch_bytes,resolved_flush_interval_ms,latency_mean_ms,latency_p95_ms,throughput_mbps,goodput_bytes,flush_count,syscall_count,mean_batch_size_bytes,mean_queue_size_bytes,max_queue_size_bytes,mean_elapsed_time_since_last_flush_ms,deadline_miss_ms_sum,late_frame_ratio,keyframe_late_ratio,decodable_gop_ratio,useful_goodput_bytes,best_fixed_score_gap,batch_bytes,flush_interval_ms,trace_csv_path,playback_buffer_ms,loop_count,trace_name,mean_frame_bytes,p95_frame_bytes,frame_interval_ms,keyframe_interval_frames,i_ratio,p_ratio,b_ratio,throughput_mbps_score,goodput_bytes_score,latency_p95_ms_score,flush_count_score,objective_score,decodable_gop_ratio_score,late_frame_ratio_score,keyframe_late_ratio_score,useful_goodput_bytes_score
static_file,16777216.0,1024.0,0.05,10.0,5.0,10.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_10,fixed_hybrid,32768.0,0.0,74456.7669999979,141459.63273997972,0.8964370130439989,16777216.0,16384,16384,1024.0,1024.0,1024.0,0.0,0.0,0.0,0.0,0.0,16777216.0,0.0,32768,0.0,,,,,,,,,,,,0.0,0.5,0.0,0.0,0.125,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,10.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_10,fixed_hybrid,32768.0,1.0,15080.079088281262,28643.514500000023,4.337363027880426,16777216.0,820,820,20460.019512195122,10750.0,20480.0,0.4749023437500227,0.0,0.0,0.0,0.0,16777216.0,0.0,32768,1.0,,,,,,,,,,,,0.887875236565637,0.5,0.9773435311291713,0.9650297619047619,0.8203732651378034,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,10.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_10,fixed_hybrid,32768.0,2.0,14322.462200000034,27190.81810000024,4.564437736430918,16777216.0,512,512,32768.0,16896.0,32768.0,0.7749999999999999,0.0,0.0,0.0,0.0,16777216.0,0.0,32768,2.0,,,,,,,,,,,,0.9464681879115919,0.5,0.989928465368925,0.9841269841269842,0.8491920158574695,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,10.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_10,fixed_hybrid,32768.0,4.0,14322.462200000034,27190.81810000024,4.564437736430918,16777216.0,512,512,32768.0,16896.0,32768.0,0.7749999999999999,0.0,0.0,0.0,0.0,16777216.0,0.0,32768,4.0,,,,,,,,,,,,0.9464681879115919,0.5,0.989928465368925,0.9841269841269842,0.8491920158574695,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,10.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_10,fixed_hybrid,32768.0,8.0,14322.462200000034,27190.81810000024,4.564437736430918,16777216.0,512,512,32768.0,16896.0,32768.0,0.7749999999999999,0.0,0.0,0.0,0.0,16777216.0,0.0,32768,8.0,,,,,,,,,,,,0.9464681879115919,0.5,0.989928465368925,0.9841269841269842,0.8491920158574695,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,10.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_10,fixed_hybrid,32768.0,16.0,14322.462200000034,27190.81810000024,4.564437736430918,16777216.0,512,512,32768.0,16896.0,32768.0,0.7749999999999999,0.0,0.0,0.0,0.0,16777216.0,0.0,32768,16.0,,,,,,,,,,,,0.9464681879115919,0.5,0.989928465368925,0.9841269841269842,0.8491920158574695,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,10.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_10,fixed_hybrid,32768.0,33.0,14322.462200000034,27190.81810000024,4.564437736430918,16777216.0,512,512,32768.0,16896.0,32768.0,0.7749999999999999,0.0,0.0,0.0,0.0,16777216.0,0.0,32768,33.0,,,,,,,,,,,,0.9464681879115919,0.5,0.989928465368925,0.9841269841269842,0.8491920158574695,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,10.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_10,fixed_hybrid,32768.0,50.0,14322.462200000034,27190.81810000024,4.564437736430918,16777216.0,512,512,32768.0,16896.0,32768.0,0.7749999999999999,0.0,0.0,0.0,0.0,16777216.0,0.0,32768,50.0,,,,,,,,,,,,0.9464681879115919,0.5,0.989928465368925,0.9841269841269842,0.8491920158574695,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,10.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_10,fixed_hybrid,65536.0,0.0,74456.7669999979,141459.63273997972,0.8964370130439989,16777216.0,16384,16384,1024.0,1024.0,1024.0,0.0,0.0,0.0,0.0,0.0,16777216.0,0.0,65536,0.0,,,,,,,,,,,,0.0,0.5,0.0,0.0,0.125,,,,
static_file,16777216.0,1024.0,0.05,10.0,5.0,10.0,1460.0,0.25,0.5,1024.0,0.05,204800.0,10.0,static_16777216_1024_10_5_10,fixed_hybrid,65536.0,1.0,15080.079088281262,28643.514500000023,4.337363027880426,16777216.0,820,820,20460.019512195122,10750.0,20480.0,0.4749023437500227,0.0,0.0,0.0,0.0,16777216.0,0.0,65536,1.0,,,,,,,,,,,,0.887875236565637,0.5,0.9773435311291713,0.9650297619047619,0.8203732651378034,,,,
